Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78
  Trades/D (P11),,,,split_detail,,0.411,0.399,0.399,0.626,0.491,0.319,0.417,0.417,0.417,0.374,0.356,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.589,0.307,0.417,0.460,0.417,0.307,0.319,0.319,0.479,0.466,0.466,0.442,0.583,0.583,0.466,0.466,0.442,0.509,0.626,0.558,0.528,0.540,0.552,0.626,0.687,0.515,0.515,0.564,0.564,0.528,0.546,0.589,0.730,0.626,0.626,0.552,0.589,0.540,0.540,0.681,0.681,0.681,0.675,0.681,0.491,0.644,0.601,0.601,0.607,0.712,0.755,0.785,0.718,0.748,0.712,0.761,0.724,0.724,0.748,0.810
  Profit Fac (P11),,,,split_detail,,0.8333,0.8815,0.8815,1.0781,1.5295,1.1065,0.7604,0.7604,0.7604,0.9464,0.9718,1.1342,1.1342,1.1342,1.1342,1.1342,1.1342,1.1342,1.1342,1.0976,1.0204,0.9656,0.9800,0.9522,0.9141,0.8001,0.8001,0.8791,0.8997,0.8997,1.7218,0.9446,0.9446,0.8744,0.8744,1.7180,0.9636,0.8893,0.8948,1.0828,0.9006,0.9606,0.8844,0.9830,0.8422,0.8422,0.8511,0.8511,0.9259,1.1457,0.9738,1.0743,1.0431,1.0452,0.8686,0.9378,0.9132,0.9132,1.0457,1.0457,1.0355,0.9736,1.1838,0.9841,1.0795,1.2512,1.2512,1.2198,1.5164,0.9526,1.1293,0.8449,0.9954,0.9846,0.9483,1.0395,1.0599,1.1042,0.9567
  Max DD (P11),,,,split_detail,,"$10,758.00","$8,900.00","$8,900.00","$14,302.00","$14,980.50","$10,555.50","$11,767.50","$11,767.50","$11,767.50","$7,969.50","$7,112.00","$10,038.00","$10,038.00","$10,038.00","$10,038.00","$10,038.00","$10,038.00","$10,038.00","$10,038.00","$12,131.00","$6,817.50","$8,399.50","$9,947.00","$11,348.50","$13,105.50","$11,748.00","$11,748.00","$14,202.50","$12,714.00","$12,714.00","$11,040.50","$12,612.00","$12,612.00","$13,725.00","$13,725.00","$11,104.00","$12,647.50","$13,908.00","$15,955.00","$8,669.00","$11,316.50","$11,449.00","$15,086.00","$13,432.00","$15,822.00","$15,822.00","$14,776.00","$14,776.00","$10,920.50","$15,087.00","$15,068.50","$19,252.00","$15,426.50","$13,908.50","$11,948.00","$11,626.00","$11,899.50","$11,899.50","$22,690.50","$22,690.50","$20,845.50","$23,312.50","$14,342.00","$10,718.50","$17,501.00","$14,286.00","$14,286.00","$15,270.50","$10,165.50","$18,704.00","$15,902.50","$22,069.00","$19,503.50","$28,494.50","$17,170.00","$25,222.50","$25,222.50","$19,376.50","$21,759.50"
  Total PNL (P11),,,,split_detail,,"$-5,792.00","$-4,148.50","$-4,148.50","$3,537.00","$18,987.50","$2,258.50","$-8,674.00","$-8,674.00","$-8,674.00","$-1,757.50",$-900.00,"$2,776.00","$2,776.00","$2,776.00","$2,776.00","$2,776.00","$2,776.00","$2,776.00","$2,776.00","$4,523.50",$440.50,"$-1,215.50",$-767.00,"$-1,702.00","$-2,483.50","$-5,778.00","$-5,778.00","$-4,939.50","$-3,909.00","$-3,909.00","$20,858.00","$-2,589.00","$-2,589.00","$-5,073.00","$-5,073.00","$20,794.50","$-1,485.00","$-5,163.50","$-4,602.50","$3,332.00","$-4,265.50","$-1,680.00","$-5,853.00",$-941.00,"$-6,881.50","$-6,881.50","$-6,887.00","$-6,887.00","$-3,223.50","$5,710.00","$-1,231.00","$3,937.50","$2,071.00","$2,165.50","$-5,882.00","$-3,187.50","$-3,863.00","$-3,863.00","$2,511.50","$2,511.50","$1,864.50","$-1,425.50","$9,010.00",$-622.00,"$3,801.00","$9,601.00","$9,601.00","$8,616.50","$24,040.50","$-2,682.50","$6,736.50","$-9,037.00",$-254.00,$-909.00,"$-2,717.00","$2,188.00","$3,323.50","$5,712.50","$-2,722.00"
  Avg Profit/Tr (P11),,,,split_detail,,$-86.45,$-63.82,$-63.82,$34.68,$237.34,$43.43,$-127.56,$-127.56,$-127.56,$-28.81,$-15.52,$55.52,$55.52,$55.52,$55.52,$55.52,$55.52,$55.52,$55.52,$47.12,$8.81,$-17.87,$-10.23,$-25.03,$-49.67,$-111.12,$-111.12,$-63.33,$-51.43,$-51.43,$289.69,$-27.25,$-27.25,$-66.75,$-66.75,$288.81,$-17.89,$-50.62,$-50.58,$38.74,$-48.47,$-18.67,$-57.38,$-8.40,$-81.92,$-81.92,$-74.86,$-74.86,$-37.48,$64.16,$-12.82,$33.09,$20.30,$21.23,$-65.36,$-33.20,$-43.90,$-43.90,$22.63,$22.63,$16.80,$-12.96,$81.17,$-7.77,$36.20,$97.97,$97.97,$87.04,$207.25,$-21.81,$52.63,$-77.24,$-2.08,$-7.84,$-21.91,$18.54,$28.17,$46.82,$-20.62
  Span (min) (P11),,,,split_detail,,162.27,177.42,177.42,182.94,176.22,134.62,155.47,155.47,155.47,181.57,187.03,138.18,138.18,138.18,138.18,138.18,138.18,138.18,138.18,168.75,131.20,185.65,182.56,178.41,134.00,137.88,137.88,165.08,165.63,165.63,177.72,163.71,163.71,171.79,171.79,175.39,161.06,185.06,160.48,169.26,152.45,164.80,149.41,166.93,174.57,174.57,164.22,164.22,164.51,147.78,194.62,140.17,162.35,159.76,150.00,162.88,159.41,159.41,164.11,164.11,148.11,152.18,144.11,160.35,147.31,154.41,154.41,153.45,128.28,176.39,122.25,186.36,143.02,139.66,172.84,130.58,131.29,150.79,155.64
--- PER-SPLIT DETAIL (Out-of-Sample) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Sortino (P2),,,,split_detail,,8.6528,6.6007,6.6007,-0.8350,-4.0179,-3.7819,6.3862,6.3862,6.3862,4.6552,5.4373,-5.4845,-5.4845,-5.4845,-5.4845,-5.4845,-5.4845,-5.4845,-5.4845,-1.0347,-6.7780,3.8687,4.2328,4.7812,-4.3014,-5.7094,-5.7094,3.5722,1.4428,1.4428,-3.9065,-1.2681,-1.2681,0.2468,0.2468,-3.8302,1.7557,2.0417,-3.6243,1.6375,-1.0563,-0.4685,1.4468,-1.1588,-5.0459,-5.0459,-1.1785,-1.1785,1.5706,2.4477,2.3943,1.8556,-1.0192,-0.8992,-0.5462,0.8748,2.0270,2.0270,-3.8462,-3.8462,-3.8301,-3.3140,-1.0175,3.7521,-4.0851,-2.7135,-2.7135,-2.8398,-2.8312,-1.5063,-1.8556,-3.2628,-3.3817,-0.6868,-4.5043,-1.4450,-1.7986,-2.7369,-2.6612
  Trades/D (P2),,,,split_detail,,0.319,0.319,0.319,0.669,0.434,0.331,0.319,0.319,0.319,0.331,0.313,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.645,0.373,0.343,0.482,0.337,0.392,0.392,0.392,0.500,0.470,0.470,0.416,0.572,0.572,0.470,0.470,0.416,0.536,0.608,0.681,0.566,0.554,0.566,0.645,0.693,0.542,0.542,0.596,0.596,0.578,0.554,0.614,0.639,0.705,0.705,0.584,0.614,0.578,0.578,0.747,0.747,0.783,0.747,0.681,0.512,0.596,0.584,0.584,0.590,0.729,0.765,0.729,0.771,0.783,0.735,0.873,0.753,0.747,0.819,0.789
  Profit Fac (P2),,,,split_detail,,1.3929,1.3466,1.3466,0.9512,0.7361,0.8044,1.2718,1.2718,1.2718,1.2257,1.2708,0.7173,0.7173,0.7173,0.7173,0.7173,0.7173,0.7173,0.7173,0.9332,0.5573,1.2391,1.2698,1.2744,0.6461,0.5890,0.5890,1.2405,1.0941,1.0941,0.7506,0.9284,0.9284,1.0157,1.0157,0.7683,1.1185,1.1329,0.7465,1.1043,0.9500,0.9742,1.0832,0.9161,0.7174,0.7174,0.9299,0.9299,1.0878,1.1651,1.1509,1.1462,0.9344,0.9413,0.9745,1.0520,1.1128,1.1128,0.7542,0.7542,0.7743,0.7940,0.9244,1.2189,0.7628,0.8107,0.8107,0.8028,0.8059,0.9186,0.9001,0.7839,0.8014,0.9473,0.6887,0.8972,0.8730,0.8365,0.8274
  Max DD (P2),,,,split_detail,,"$4,786.00","$4,193.50","$4,193.50","$6,976.00","$11,969.50","$5,685.50","$6,832.00","$6,832.00","$6,832.00","$5,309.50","$5,087.50","$5,820.00","$5,820.00","$5,820.00","$5,820.00","$5,820.00","$5,820.00","$5,820.00","$5,820.00","$9,363.50","$12,056.50","$4,869.00","$5,802.00","$4,193.50","$10,198.00","$11,931.50","$11,931.50","$5,126.00","$4,948.00","$4,948.00","$11,753.00","$7,244.00","$7,244.00","$5,407.00","$5,407.00","$11,126.00","$5,629.00","$5,505.50","$11,475.50","$5,534.50","$6,673.00","$5,615.00","$5,628.00","$9,352.50","$10,599.00","$10,599.00","$6,551.50","$6,551.50","$5,000.50","$4,996.00","$5,831.00","$4,456.50","$6,491.50","$6,159.50","$7,446.50","$9,156.00","$4,792.50","$4,792.50","$13,501.00","$13,501.00","$12,239.50","$11,111.00","$11,027.00","$5,659.50","$13,294.00","$13,554.00","$13,554.00","$13,904.50","$15,473.50","$9,765.00","$7,660.50","$10,645.50","$11,261.00","$11,288.50","$16,726.50","$13,002.50","$14,074.00","$8,210.00","$14,301.50"
  Total PNL (P2),,,,split_detail,,"$6,275.00","$5,824.00","$5,824.00","$-1,585.00","$-7,935.00","$-3,116.50","$4,396.00","$4,396.00","$4,396.00","$4,108.50","$4,674.00","$-4,201.50","$-4,201.50","$-4,201.50","$-4,201.50","$-4,201.50","$-4,201.50","$-4,201.50","$-4,201.50","$-2,355.50","$-10,459.00","$4,534.50","$6,244.00","$4,960.00","$-7,876.50","$-9,610.00","$-9,610.00","$5,705.50","$2,063.50","$2,063.50","$-7,356.50","$-2,243.00","$-2,243.00",$370.00,$370.00,"$-6,674.00","$3,181.50","$3,901.50","$-10,972.00","$3,068.50","$-1,404.00",$-740.50,"$2,527.00","$-3,453.50","$-9,057.50","$-9,057.50","$-2,332.00","$-2,332.00","$2,600.50","$5,144.00","$4,630.00","$5,388.50","$-2,648.50","$-2,352.50",$-749.50,"$1,777.00","$3,267.50","$3,267.50","$-11,234.00","$-11,234.00","$-9,903.00","$-8,844.00","$-3,109.50","$5,787.00","$-9,590.00","$-6,718.00","$-6,718.00","$-7,068.50","$-9,030.50","$-3,214.00","$-3,559.50","$-10,277.00","$-9,150.50","$-2,360.00","$-15,667.50","$-4,565.00","$-5,636.50","$-7,755.50","$-8,899.00"
  Avg Profit/Tr (P2),,,,split_detail,,$118.40,$109.89,$109.89,$-14.28,$-110.21,$-56.66,$82.94,$82.94,$82.94,$74.70,$89.88,$-82.38,$-82.38,$-82.38,$-82.38,$-82.38,$-82.38,$-82.38,$-82.38,$-22.01,$-168.69,$79.55,$78.05,$88.57,$-121.18,$-147.85,$-147.85,$68.74,$26.46,$26.46,$-106.62,$-23.61,$-23.61,$4.74,$4.74,$-96.72,$35.75,$38.63,$-97.10,$32.64,$-15.26,$-7.88,$23.62,$-30.03,$-100.64,$-100.64,$-23.56,$-23.56,$27.09,$55.91,$45.39,$50.83,$-22.64,$-20.11,$-7.73,$17.42,$34.04,$34.04,$-90.60,$-90.60,$-76.18,$-71.32,$-27.52,$68.08,$-96.87,$-69.26,$-69.26,$-72.13,$-74.63,$-25.31,$-29.42,$-80.29,$-70.39,$-19.34,$-108.05,$-36.52,$-45.46,$-57.03,$-67.93
  Span (min) (P2),,,,split_detail,,292.53,312.91,312.91,201.73,161.39,209.49,279.85,279.85,279.85,304.15,312.00,211.78,211.78,211.78,211.78,211.78,211.78,211.78,211.78,229.79,123.06,282.53,243.75,305.14,134.62,130.77,130.77,233.06,221.85,221.85,158.67,232.17,232.17,229.54,229.54,158.26,223.96,220.75,213.98,237.19,211.96,221.36,209.05,178.12,233.87,233.87,230.06,230.06,231.75,150.52,179.88,182.83,196.21,194.77,206.85,181.88,230.62,230.62,195.97,195.97,170.77,184.35,170.97,145.41,151.15,158.10,158.10,156.73,132.69,185.39,138.35,190.12,169.57,173.70,144.58,165.31,163.65,160.94,133.56
  Sortino (P4),,,,split_detail,,-1.2516,-1.9109,-1.9109,-7.4725,0.1701,2.8941,-4.3902,-4.3902,-4.3902,-4.4819,-7.3689,1.0728,1.0728,1.0728,1.0728,1.0728,1.0728,1.0728,1.0728,-4.0027,-1.6061,-7.8712,-9.1865,-0.3507,0.0454,0.8957,0.8957,-8.6545,-11.3196,-11.3196,-0.5334,1.3095,1.3095,-8.3861,-8.3861,-0.3976,-5.4527,-0.1929,0.4134,-3.3542,-7.7730,-3.5403,0.3047,-1.2783,1.7758,1.7758,-3.4042,-3.4042,-2.4690,4.1661,-0.9834,1.8827,-1.2050,-1.0448,-7.2087,-1.1473,-1.9426,-1.9426,-3.1355,-3.1355,-4.1787,-2.9258,0.7800,-1.3927,-0.2394,-0.6451,-0.6451,-0.6451,0.3131,3.0291,2.2741,-0.1591,-2.0999,-1.1544,-0.5204,-1.1867,-1.3841,-1.7422,0.2418
  Trades/D (P4),,,,split_detail,,0.288,0.282,0.282,0.509,0.423,0.239,0.294,0.294,0.294,0.294,0.288,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.503,0.288,0.301,0.393,0.331,0.319,0.325,0.325,0.399,0.387,0.387,0.387,0.534,0.534,0.387,0.387,0.387,0.454,0.589,0.620,0.479,0.479,0.436,0.595,0.644,0.485,0.485,0.479,0.479,0.472,0.521,0.546,0.626,0.644,0.656,0.485,0.540,0.472,0.472,0.681,0.681,0.730,0.699,0.632,0.454,0.595,0.644,0.644,0.644,0.706,0.663,0.650,0.669,0.804,0.730,0.736,0.755,0.755,0.840,0.730
  Profit Fac (P4),,,,split_detail,,0.9221,0.8850,0.8850,0.5409,1.0146,1.1925,0.7317,0.7317,0.7317,0.7458,0.5878,1.0681,1.0681,1.0681,1.0681,1.0681,1.0681,1.0681,1.0681,0.7448,0.8236,0.5527,0.4872,0.9779,1.0060,1.1079,1.1079,0.5096,0.4110,0.4110,0.9560,1.0917,1.0917,0.5232,0.5232,0.9675,0.6448,0.9872,1.0301,0.7817,0.5703,0.7734,1.0201,0.9024,1.1254,1.1254,0.7755,0.7755,0.8440,1.3319,0.9350,1.1772,0.9124,0.9242,0.5964,0.9188,0.8704,0.8704,0.7842,0.7842,0.7215,0.7994,1.0733,0.9071,0.9794,0.9508,0.9508,0.9508,1.0316,1.2767,1.1833,0.9882,0.8528,0.8877,0.9595,0.8912,0.8765,0.8826,1.0208
  Max DD (P4),,,,split_detail,,"$9,089.00","$9,479.00","$9,479.00","$20,368.00","$9,257.00","$5,152.00","$11,298.00","$11,298.00","$11,298.00","$11,899.00","$12,067.00","$5,152.00","$5,152.00","$5,152.00","$5,152.00","$5,152.00","$5,152.00","$5,152.00","$5,152.00","$16,424.00","$6,340.50","$14,812.00","$19,956.50","$9,339.50","$3,670.50","$3,921.00","$3,921.00","$18,421.00","$20,858.50","$20,858.50","$8,673.50","$11,199.00","$11,199.00","$17,865.50","$17,865.50","$8,337.00","$14,983.00","$13,236.50","$10,640.50","$12,467.50","$19,117.00","$14,337.50","$12,462.50","$11,475.00","$11,879.50","$11,879.50","$17,892.00","$17,892.00","$12,609.50","$4,347.00","$8,889.00","$8,791.00","$14,759.00","$14,121.00","$18,201.50","$10,120.00","$11,300.00","$11,300.00","$18,739.50","$18,739.50","$21,659.00","$14,367.00","$11,355.00","$9,562.00","$11,476.50","$7,372.50","$7,372.50","$7,372.50","$12,835.50","$5,383.00","$7,149.00","$11,729.50","$21,595.50","$8,274.50","$10,272.00","$8,337.50","$9,172.00","$21,238.50","$8,558.50"
  Total PNL (P4),,,,split_detail,,"$-1,785.00","$-2,746.00","$-2,746.00","$-18,328.00",$429.50,"$2,674.00","$-6,086.50","$-6,086.50","$-6,086.50","$-6,084.50","$-9,935.00",$944.00,$944.00,$944.00,$944.00,$944.00,$944.00,$944.00,$944.00,"$-10,323.50","$-2,623.50","$-12,390.50","$-17,888.50",$-611.00,$81.50,"$1,617.00","$1,617.00","$-16,353.00","$-18,268.50","$-18,268.50","$-1,238.00","$3,678.50","$3,678.50","$-15,275.50","$-15,275.50",$-901.50,"$-11,965.00",$-541.50,"$1,240.50","$-7,936.00","$-15,081.00","$-7,501.00",$861.50,"$-4,400.50","$4,487.00","$4,487.00","$-9,108.00","$-9,108.00","$-5,445.50","$10,202.00","$-2,315.00","$7,015.00","$-4,358.50","$-3,720.50","$-14,165.50","$-3,095.50","$-4,388.50","$-4,388.50","$-11,587.50","$-11,587.50","$-16,250.00","$-11,240.50","$2,981.50","$-2,888.00",$-845.50,"$-1,924.50","$-1,924.50","$-1,924.50","$1,368.50","$9,369.50","$5,920.00",$-561.00,"$-8,259.50","$-5,593.00","$-1,827.50","$-5,403.00","$-6,237.50","$-6,837.50",$997.00
  Avg Profit/Tr (P4),,,,split_detail,,$-37.98,$-59.70,$-59.70,$-220.82,$6.22,$68.56,$-126.80,$-126.80,$-126.80,$-126.76,$-211.38,$25.51,$25.51,$25.51,$25.51,$25.51,$25.51,$25.51,$25.51,$-125.90,$-55.82,$-252.87,$-279.51,$-11.31,$1.57,$30.51,$30.51,$-251.58,$-289.98,$-289.98,$-19.65,$42.28,$42.28,$-242.47,$-242.47,$-14.31,$-161.69,$-5.64,$12.28,$-101.74,$-193.35,$-105.65,$8.88,$-41.91,$56.80,$56.80,$-116.77,$-116.77,$-70.72,$120.02,$-26.01,$68.77,$-41.51,$-34.77,$-179.31,$-35.18,$-56.99,$-56.99,$-104.39,$-104.39,$-136.55,$-98.60,$28.95,$-39.03,$-8.72,$-18.33,$-18.33,$-18.33,$11.90,$86.75,$55.85,$-5.15,$-63.05,$-47.00,$-15.23,$-43.93,$-50.71,$-49.91,$8.38
  Span (min) (P4),,,,split_detail,,164.17,182.87,182.87,121.45,194.58,146.10,127.50,127.50,127.50,183.25,181.53,140.00,140.00,140.00,140.00,140.00,140.00,140.00,140.00,150.88,144.04,185.14,165.19,179.78,148.46,144.15,144.15,149.72,139.43,139.43,199.11,151.03,151.03,152.95,152.95,197.11,150.16,141.25,151.96,158.62,116.77,143.32,141.40,157.94,165.57,165.57,159.69,159.69,153.35,141.18,144.67,130.35,160.11,153.08,115.75,158.32,149.92,149.92,158.16,158.16,135.13,148.63,145.17,147.41,140.91,136.11,136.11,136.11,128.97,132.11,124.64,146.31,131.36,151.46,124.50,131.51,130.44,128.76,138.35
  Sortino (P6),,,,split_detail,,-0.5017,-1.6242,-1.6242,-8.7378,-4.0516,-3.9036,-0.6450,-0.6450,-0.6450,-1.9477,-0.9873,-2.7852,-2.7852,-2.7852,-2.7852,-2.7852,-2.7852,-2.7852,-2.7852,-6.7955,-3.6169,-1.1337,-1.8925,-2.1119,-0.4398,-2.4461,-2.4461,-3.4589,-3.6720,-3.6720,-5.3256,-1.4440,-1.4440,-2.3084,-2.3084,-6.7406,-3.0439,-3.9013,1.4919,-1.6734,-2.5542,-1.6591,-3.1653,-5.5048,0.8773,0.8773,-3.4612,-3.4612,-1.0843,-0.8816,-5.4077,-0.7902,-1.5912,-1.4790,-2.1771,-4.5760,-2.1720,-2.1720,-4.6926,-4.6926,-4.8936,-2.5849,2.5669,-5.6661,1.9142,-2.1638,-2.1638,-1.7511,-2.6280,-5.8583,-3.8387,-3.8898,-5.7587,-1.3994,-3.5980,-1.7197,-1.8818,-4.4505,-0.9286
  Trades/D (P6),,,,split_detail,,0.293,0.280,0.280,0.530,0.439,0.305,0.299,0.299,0.299,0.287,0.268,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.500,0.280,0.299,0.396,0.293,0.329,0.329,0.329,0.415,0.396,0.396,0.402,0.506,0.506,0.390,0.390,0.409,0.439,0.530,0.543,0.457,0.488,0.482,0.579,0.500,0.457,0.457,0.524,0.524,0.500,0.451,0.457,0.659,0.616,0.616,0.518,0.482,0.512,0.512,0.677,0.677,0.707,0.713,0.640,0.390,0.573,0.482,0.482,0.500,0.665,0.713,0.768,0.610,0.774,0.701,0.628,0.744,0.744,0.780,0.768
  Profit Fac (P6),,,,split_detail,,0.9774,0.9132,0.9132,0.4924,0.7826,0.7641,0.9647,0.9647,0.9647,0.8913,0.9428,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.5872,0.7971,0.9328,0.8625,0.8883,0.9741,0.8570,0.8570,0.7801,0.7439,0.7439,0.7246,0.8991,0.8991,0.8468,0.8468,0.6782,0.8095,0.7667,1.1107,0.8886,0.8319,0.8995,0.7897,0.6483,1.0732,1.0732,0.7792,0.7792,0.9246,0.9358,0.6794,0.9498,0.8970,0.9041,0.8533,0.7124,0.8585,0.8585,0.7301,0.7301,0.7087,0.8431,1.1713,0.6558,1.1294,0.8767,0.8767,0.8999,0.8568,0.6510,0.7803,0.7533,0.6720,0.8979,0.7847,0.8777,0.8662,0.7277,0.9376
  Max DD (P6),,,,split_detail,,"$14,111.50","$14,119.00","$14,119.00","$29,260.50","$14,479.50","$11,199.00","$15,303.00","$15,303.00","$15,303.00","$14,809.50","$13,185.00","$9,645.00","$9,645.00","$9,645.00","$9,645.00","$9,645.00","$9,645.00","$9,645.00","$9,645.00","$29,514.00","$5,248.50","$11,515.50","$14,215.50","$15,661.00","$5,392.50","$5,392.50","$5,392.50","$14,897.00","$16,705.00","$16,705.00","$15,623.50","$14,399.00","$14,399.00","$11,893.00","$11,893.00","$17,156.50","$13,678.50","$20,305.50","$9,754.00","$15,780.00","$17,588.50","$12,751.50","$19,147.50","$24,636.50","$11,047.50","$11,047.50","$22,817.00","$22,817.00","$16,108.00","$14,778.50","$19,605.00","$24,968.00","$15,644.00","$15,433.00","$17,863.50","$23,471.00","$16,375.50","$16,375.50","$29,085.00","$29,085.00","$25,798.00","$18,350.50","$12,305.00","$19,150.50","$9,288.50","$12,127.00","$12,127.00","$11,276.00","$17,507.50","$27,304.00","$21,443.50","$20,853.00","$28,452.00","$14,284.00","$16,301.50","$15,345.00","$16,007.50","$26,278.00","$15,741.00"
  Total PNL (P6),,,,split_detail,,$-639.00,"$-2,434.00","$-2,434.00","$-26,896.50","$-10,209.00","$-6,249.00","$-1,009.00","$-1,009.00","$-1,009.00","$-3,124.50","$-1,500.00","$-4,236.50","$-4,236.50","$-4,236.50","$-4,236.50","$-4,236.50","$-4,236.50","$-4,236.50","$-4,236.50","$-22,169.50","$-5,484.50","$-1,913.00","$-5,126.00","$-3,305.50",$-769.50,"$-4,317.00","$-4,317.00","$-8,840.50","$-9,669.50","$-9,669.50","$-12,481.50","$-4,884.50","$-4,884.50","$-5,674.00","$-5,674.00","$-15,581.50","$-8,131.00","$-12,264.00","$5,210.50","$-5,119.50","$-7,773.00","$-4,698.50","$-11,138.50","$-17,888.50","$2,770.50","$2,770.50","$-11,922.00","$-11,922.00","$-3,693.00","$-2,773.00","$-14,971.00","$-3,045.00","$-6,131.00","$-5,665.00","$-7,007.00","$-14,475.50","$-7,309.50","$-7,309.50","$-19,285.50","$-19,285.50","$-19,768.50","$-10,370.50","$9,269.50","$-14,696.00","$6,436.50","$-5,909.50","$-5,909.50","$-4,943.00","$-9,208.00","$-21,597.50","$-12,728.50","$-14,620.50","$-24,629.00","$-6,482.50","$-12,056.00","$-8,011.00","$-8,766.50","$-20,597.50","$-4,636.50"
  Avg Profit/Tr (P6),,,,split_detail,,$-13.31,$-52.91,$-52.91,$-309.16,$-141.79,$-124.98,$-20.59,$-20.59,$-20.59,$-66.48,$-34.09,$-90.14,$-90.14,$-90.14,$-90.14,$-90.14,$-90.14,$-90.14,$-90.14,$-270.36,$-119.23,$-39.04,$-78.86,$-68.86,$-14.25,$-79.94,$-79.94,$-130.01,$-148.76,$-148.76,$-189.11,$-58.85,$-58.85,$-88.66,$-88.66,$-232.56,$-112.93,$-140.97,$58.54,$-68.26,$-97.16,$-59.47,$-117.25,$-218.15,$36.94,$36.94,$-138.63,$-138.63,$-45.04,$-37.47,$-199.61,$-28.19,$-60.70,$-56.09,$-82.44,$-183.23,$-87.02,$-87.02,$-173.74,$-173.74,$-170.42,$-88.64,$88.28,$-229.62,$68.47,$-74.80,$-74.80,$-60.28,$-84.48,$-184.59,$-101.02,$-146.20,$-193.93,$-56.37,$-117.05,$-65.66,$-71.86,$-160.92,$-36.80
  Span (min) (P6),,,,split_detail,,149.50,165.91,165.91,112.97,183.17,113.68,142.04,142.04,142.04,164.17,170.18,113.49,113.49,113.49,113.49,113.49,113.49,113.49,113.49,146.49,121.30,166.53,158.77,167.75,135.74,134.26,134.26,143.47,136.62,136.62,184.33,150.94,150.94,142.50,142.50,176.15,147.83,128.55,152.90,160.32,136.65,147.49,137.68,138.44,159.04,159.04,145.26,145.26,152.34,161.51,128.16,154.33,146.97,145.31,133.98,137.47,146.86,146.86,143.78,143.78,120.83,138.67,152.91,139.88,158.55,147.34,147.34,145.76,143.12,117.95,105.52,127.92,130.58,140.45,116.27,130.03,129.93,137.34,142.29
  Sortino (P8),,,,split_detail,,-4.3308,-4.4907,-4.4907,-6.4256,0.5991,1.2101,-3.7883,-3.7883,-3.7883,-2.8804,-2.7593,1.5571,1.5571,1.5571,1.5571,1.5571,1.5571,1.5571,1.5571,-6.5878,9.7288,-5.7413,-7.0438,-4.0551,7.5620,7.1305,7.1305,-5.5823,-4.9303,-4.9303,2.5392,-5.1484,-5.1484,-5.4072,-5.4072,2.9057,-5.1867,-6.5098,-3.7954,-6.2075,-5.5292,-4.9804,-5.1647,-4.9851,-6.2369,-6.2369,-5.4879,-5.4879,-4.8837,-2.6226,-4.1545,-3.4939,-3.4179,-3.1747,-5.7319,-3.9718,-5.0167,-5.0167,-1.5486,-1.5486,-3.4966,-0.1357,-2.9302,-4.2320,-0.7096,-3.7711,-3.7711,-3.7711,-3.0804,-4.3775,-4.0391,-4.2454,-3.5099,-5.7913,-6.2022,-4.7324,-5.0998,-3.0320,-4.9470
  Trades/D (P8),,,,split_detail,,0.393,0.374,0.374,0.564,0.429,0.288,0.393,0.393,0.393,0.368,0.350,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.528,0.221,0.399,0.454,0.405,0.227,0.239,0.239,0.485,0.485,0.485,0.374,0.577,0.577,0.479,0.479,0.374,0.491,0.577,0.552,0.485,0.534,0.509,0.613,0.577,0.509,0.509,0.497,0.497,0.515,0.528,0.515,0.755,0.626,0.626,0.552,0.503,0.528,0.528,0.632,0.632,0.669,0.626,0.638,0.436,0.595,0.607,0.607,0.607,0.626,0.785,0.785,0.675,0.742,0.706,0.724,0.736,0.755,0.755,0.724
