Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79
  Sortino (P11),,,,split_detail,,4.0822,4.6960,4.2971,4.3305,4.3740,4.5595,4.4577,3.8288,3.8288,3.8288,3.8288,3.7779,3.6112,3.4353,4.0822,3.6217,4.0822,3.1848,2.6746,4.2858,4.2640,1.7259,1.5439,2.2030,3.6296,3.5695,2.6746,2.0934,2.4374,1.8036,2.7966,2.7759,2.2325,2.5952,2.6740,2.3972,2.7559,2.7559,2.7559,3.0915,2.4613,2.7228,2.7228,2.5707,2.6367,2.5707,2.7228,2.4559,2.7595,0.6041,0.1341,0.6188,0.3390,-0.5900,-0.5900,0.1209,3.4185,-0.5374,-0.3016,1.3871,-0.3016,0.0295,1.2091,0.1300,0.3415,-1.4815,0.2272,1.7474,1.6129,0.7083,-1.4882,-1.4882,1.6565,1.6565,0.6135,-2.7568,0.4141,1.3195,0.5561,-2.7568
  Trades/D (P11),,,,split_detail,,0.270,0.399,0.387,0.411,0.411,0.288,0.405,0.411,0.411,0.411,0.411,0.405,0.405,0.411,0.411,0.399,0.411,0.423,0.423,0.411,0.411,0.448,0.436,0.448,0.417,0.417,0.423,0.460,0.448,0.442,0.509,0.448,0.466,0.479,0.442,0.454,0.454,0.454,0.454,0.460,0.460,0.460,0.460,0.466,0.466,0.466,0.460,0.472,0.472,0.650,0.491,0.761,0.712,0.491,0.491,0.712,0.638,0.515,0.791,0.577,0.791,0.730,0.638,0.577,0.577,0.466,0.577,0.644,0.699,0.583,0.914,0.914,0.620,0.620,0.583,0.840,0.656,0.595,0.675,0.840
  Profit Fac (P11),,,,split_detail,,1.4211,1.5927,1.5102,1.5272,1.5392,1.4250,1.5444,1.4621,1.4621,1.4621,1.4621,1.4696,1.4233,1.3963,1.5036,1.4424,1.5036,1.3702,1.3179,1.5172,1.5146,1.1828,1.1604,1.2452,1.4295,1.4351,1.3179,1.2017,1.2760,1.1902,1.3423,1.2245,1.2741,1.2654,1.3023,1.2763,1.3274,1.3274,1.3274,1.3521,1.2737,1.3263,1.3263,1.3037,1.3115,1.3037,1.3263,1.2855,1.3303,1.0644,1.0168,1.0617,1.0339,0.9181,0.9181,1.0125,1.3556,0.9162,0.9690,1.2118,0.9690,1.0034,1.1828,1.0196,1.0517,0.7981,1.0344,1.2683,1.1863,1.1126,0.8336,0.8336,1.2610,1.2610,1.0972,0.7223,1.0647,1.2189,1.0853,0.7223
  Max DD (P11),,,,split_detail,,"$3,741.00","$4,065.00","$4,727.50","$4,520.50","$4,145.00","$5,878.50","$4,181.00","$5,152.50","$5,152.50","$5,152.50","$5,152.50","$5,015.00","$5,494.00","$5,786.00","$4,606.00","$5,034.00","$4,606.00","$5,943.00","$6,639.00","$4,727.50","$4,727.50","$7,588.00","$7,977.00","$7,895.00","$5,492.50","$5,530.00","$6,639.00","$6,999.50","$7,343.00","$7,686.50","$6,567.00","$8,598.50","$6,030.50","$5,887.50","$7,048.50","$7,459.50","$6,588.50","$6,588.50","$6,588.50","$6,209.50","$7,300.00","$6,603.50","$6,603.50","$6,906.00","$6,767.50","$6,906.00","$6,603.50","$7,132.50","$6,433.50","$13,317.00","$6,186.50","$17,832.00","$18,398.00","$7,307.00","$7,307.00","$18,350.00","$6,961.50","$10,425.50","$22,668.50","$8,729.50","$22,668.50","$11,564.00","$9,286.50","$12,723.50","$12,407.50","$5,932.00","$12,307.50","$8,618.50","$11,686.00","$10,255.00","$17,578.50","$17,578.50","$8,885.50","$8,885.50","$10,633.50","$22,889.50","$9,733.50","$7,686.00","$11,076.00","$22,889.50"
  Total PNL (P11),,,,split_detail,,"$4,537.00","$7,953.00","$7,156.50","$7,519.00","$7,630.00","$5,312.50","$7,594.00","$6,884.00","$6,884.00","$6,884.00","$6,884.00","$6,885.00","$6,407.00","$6,115.00","$7,295.00","$6,482.00","$7,295.00","$5,868.00","$5,197.00","$7,485.00","$7,447.00","$3,366.50","$2,977.50","$4,380.50","$6,544.00","$6,604.00","$5,197.00","$3,990.50","$4,957.50","$3,517.50","$5,888.00","$3,996.50","$4,998.50","$5,152.50","$5,381.50","$4,816.00","$5,712.00","$5,712.00","$5,712.00","$6,066.00","$4,975.50","$5,697.00","$5,697.00","$5,394.50","$5,533.00","$5,394.50","$5,697.00","$5,168.00","$5,867.00","$1,626.50",$279.50,"$2,365.00","$1,268.00","$-1,508.50","$-1,508.50",$476.00,"$7,477.00","$-2,104.00","$-1,374.00","$5,614.50","$-1,374.00",$87.00,"$4,285.50",$565.00,"$1,448.50","$-3,250.50",$981.00,"$6,111.50","$4,693.50","$3,033.50","$-7,585.50","$-7,585.50","$7,172.50","$7,172.50","$2,655.00","$-13,130.00","$1,755.00","$5,543.50","$2,428.00","$-13,130.00"
  Avg Profit/Tr (P11),,,,split_detail,,$103.11,$122.35,$113.60,$112.22,$113.88,$113.03,$115.06,$102.75,$102.75,$102.75,$102.75,$104.32,$97.08,$91.27,$108.88,$99.72,$108.88,$85.04,$75.32,$111.72,$111.15,$46.12,$41.94,$60.01,$96.24,$97.12,$75.32,$53.21,$67.91,$48.85,$70.94,$54.75,$65.77,$66.06,$74.74,$65.08,$77.19,$77.19,$77.19,$80.88,$66.34,$75.96,$75.96,$70.98,$72.80,$70.98,$75.96,$67.12,$76.19,$15.34,$3.49,$19.07,$10.93,$-18.86,$-18.86,$4.10,$71.89,$-25.05,$-10.65,$59.73,$-10.65,$0.73,$41.21,$6.01,$15.41,$-42.77,$10.44,$58.20,$41.17,$31.93,$-50.91,$-50.91,$71.01,$71.01,$27.95,$-95.84,$16.40,$57.15,$22.07,$-95.84
  Span (min) (P11),,,,split_detail,,104.05,79.48,84.89,79.09,78.57,99.19,81.14,80.55,80.55,80.55,80.55,82.73,83.05,82.54,80.87,85.62,80.87,82.78,85.72,79.82,80.24,75.56,78.48,79.78,79.78,81.12,85.72,80.17,89.08,79.24,68.57,75.37,81.51,81.04,85.26,79.84,84.76,84.76,84.76,81.39,82.13,84.28,84.28,83.82,83.54,83.82,84.28,81.64,86.55,64.85,54.04,67.85,69.40,55.27,55.27,69.94,57.68,62.07,75.64,61.20,75.64,52.71,54.79,55.47,54.88,45.88,55.12,55.10,66.87,53.84,62.72,62.72,58.16,58.16,54.54,71.07,55.41,51.60,55.80,71.07
--- PER-SPLIT DETAIL (Out-of-Sample) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Sortino (P2),,,,split_detail,,-3.3393,-1.0811,-2.2175,-1.8641,-1.8641,-0.6901,-1.4613,-1.4505,-1.4505,-1.4505,-1.4505,-1.9579,-0.9774,-0.9774,-1.5375,-0.5970,-0.9775,-1.7407,-1.1466,-2.1256,-1.5252,-2.5954,-1.6927,-1.9162,-1.1759,-1.5627,-1.2500,-5.4548,-1.4545,-1.8785,-5.1962,-3.0301,-4.5266,-5.0167,0.3539,-1.8119,-2.0832,-2.4687,-2.4687,-3.5544,-2.8900,-2.4687,-2.4687,-2.4687,-2.6109,-2.4687,-2.2062,-2.8719,-2.3692,-3.5750,-4.2406,-2.7094,-2.1682,-4.0171,-3.6530,-2.7068,-2.6111,-5.3313,-1.6911,-4.3325,-1.9185,-1.1081,-4.7211,-3.2997,-3.4509,-3.9039,-3.2997,-5.1252,-2.8707,-3.7751,-1.6592,-1.5356,-3.8517,-3.8629,-3.8486,-1.9261,-5.1252,-4.1601,-5.1095,-2.0711
  Trades/D (P2),,,,split_detail,,0.367,0.524,0.476,0.536,0.536,0.386,0.518,0.536,0.536,0.536,0.536,0.542,0.518,0.518,0.548,0.506,0.548,0.524,0.524,0.542,0.542,0.548,0.536,0.572,0.542,0.542,0.536,0.554,0.524,0.542,0.657,0.578,0.572,0.566,0.530,0.566,0.578,0.584,0.584,0.584,0.578,0.584,0.584,0.584,0.578,0.584,0.578,0.584,0.584,0.807,0.416,0.880,0.861,0.422,0.428,0.849,0.777,0.434,0.855,0.482,0.873,0.880,0.494,0.470,0.470,0.404,0.470,0.500,0.880,0.482,1.054,1.048,0.500,0.500,0.482,0.970,0.500,0.488,0.506,0.976
  Profit Fac (P2),,,,split_detail,,0.6841,0.8970,0.7857,0.8139,0.8139,0.9215,0.8504,0.8465,0.8465,0.8465,0.8465,0.7959,0.8929,0.8929,0.8331,0.9322,0.9011,0.8141,0.8713,0.7844,0.8443,0.7511,0.8223,0.7909,0.8884,0.8341,0.8601,0.4937,0.8323,0.7999,0.5330,0.7054,0.5384,0.5129,1.0394,0.8003,0.7758,0.7316,0.7316,0.6427,0.6978,0.7316,0.7316,0.7316,0.7144,0.7316,0.7543,0.6931,0.7397,0.6214,0.4605,0.7685,0.8051,0.4702,0.5114,0.7623,0.7108,0.3990,0.8402,0.5401,0.8200,0.8754,0.4912,0.6153,0.6017,0.4892,0.6153,0.4722,0.6602,0.5745,0.8477,0.8577,0.5695,0.5657,0.5667,0.8257,0.4722,0.5441,0.4711,0.8146
  Max DD (P2),,,,split_detail,,"$3,974.00","$3,781.00","$3,803.00","$4,593.50","$4,593.50","$3,453.50","$4,209.00","$4,196.00","$4,196.00","$4,196.00","$4,196.00","$4,568.50","$3,678.50","$3,678.50","$4,798.50","$3,756.00","$4,610.00","$4,424.00","$3,997.50","$4,780.50","$3,891.50","$4,823.50","$4,204.50","$4,876.00","$3,794.50","$4,154.00","$4,104.00","$7,928.00","$4,009.00","$4,440.00","$10,029.00","$7,749.00","$7,677.00","$7,318.00","$2,427.00","$5,022.50","$4,687.50","$5,630.00","$5,630.00","$6,583.50","$5,892.00","$5,630.00","$5,630.00","$5,630.00","$5,815.00","$5,630.00","$5,189.00","$6,256.00","$5,491.00","$10,072.00","$10,967.00","$8,063.00","$6,494.00","$10,613.50","$9,928.00","$8,139.50","$9,763.50","$12,080.00","$8,405.50","$10,649.00","$8,706.50","$5,996.00","$12,561.00","$7,445.00","$7,892.00","$9,947.00","$7,445.00","$13,753.00","$10,050.00","$8,848.00","$8,214.00","$7,773.00","$9,894.00","$10,041.00","$9,139.50","$7,522.00","$13,753.00","$9,949.50","$13,818.00","$7,522.00"
  Total PNL (P2),,,,split_detail,,"$-3,909.00","$-1,318.50","$-2,590.50","$-2,625.00","$-2,625.00",$-828.00,"$-2,019.50","$-2,144.50","$-2,144.50","$-2,144.50","$-2,144.50","$-2,937.00","$-1,419.50","$-1,419.50","$-2,414.00",$-831.00,"$-1,321.50","$-2,536.50","$-1,696.00","$-3,149.00","$-2,260.00","$-3,688.00","$-2,410.00","$-3,099.50","$-1,485.50","$-2,352.50","$-1,867.50","$-8,173.00","$-2,166.00","$-2,789.00","$-9,969.50","$-5,053.50","$-7,819.00","$-7,563.00",$516.50,"$-2,906.50","$-3,277.00","$-3,924.00","$-3,924.00","$-5,549.00","$-4,503.00","$-3,924.00","$-3,924.00","$-3,924.00","$-4,109.00","$-3,924.00","$-3,483.00","$-4,550.00","$-3,785.00","$-9,029.50","$-9,184.50","$-7,565.00","$-5,909.00","$-8,831.00","$-8,145.50","$-7,318.00","$-6,418.00","$-12,706.00","$-4,995.00","$-10,982.50","$-5,769.00","$-2,947.50","$-12,941.50","$-7,596.50","$-8,043.50","$-8,489.50","$-7,596.50","$-14,133.50","$-8,725.00","$-8,999.50","$-5,775.00","$-5,334.00","$-9,313.00","$-9,460.00","$-9,291.00","$-5,664.00","$-14,133.50","$-10,240.50","$-14,198.50","$-6,105.00"
  Avg Profit/Tr (P2),,,,split_detail,,$-64.08,$-15.16,$-32.79,$-29.49,$-29.49,$-12.94,$-23.48,$-24.10,$-24.10,$-24.10,$-24.10,$-32.63,$-16.51,$-16.51,$-26.53,$-9.89,$-14.52,$-29.16,$-19.49,$-34.99,$-25.11,$-40.53,$-27.08,$-32.63,$-16.51,$-26.14,$-20.98,$-88.84,$-24.90,$-30.99,$-91.46,$-52.64,$-82.31,$-80.46,$5.87,$-30.92,$-34.14,$-40.45,$-40.45,$-57.21,$-46.91,$-40.45,$-40.45,$-40.45,$-42.80,$-40.45,$-36.28,$-46.91,$-39.02,$-67.38,$-133.11,$-51.82,$-41.32,$-126.16,$-114.73,$-51.90,$-49.75,$-176.47,$-35.18,$-137.28,$-39.79,$-20.19,$-157.82,$-97.39,$-103.12,$-126.71,$-97.39,$-170.28,$-59.76,$-112.49,$-33.00,$-30.66,$-112.20,$-113.98,$-116.14,$-35.18,$-170.28,$-126.43,$-169.03,$-37.69
  Span (min) (P2),,,,split_detail,,73.67,64.45,64.59,62.76,62.76,70.33,65.77,63.55,63.55,63.55,63.55,66.97,66.91,66.91,62.23,66.00,62.69,64.85,69.11,63.62,64.24,62.23,64.57,61.01,64.56,67.28,66.15,56.53,65.66,64.48,50.73,66.43,52.68,57.64,66.74,62.26,63.66,62.86,62.86,58.60,58.41,62.86,62.86,62.86,62.85,62.86,63.07,62.64,62.64,53.49,47.83,86.40,84.64,48.24,48.03,85.69,94.31,63.56,90.06,63.66,92.30,46.75,60.77,55.42,54.86,51.72,55.42,63.08,50.10,56.92,77.84,78.05,51.69,51.42,57.06,80.61,63.08,56.49,62.46,80.37
  Sortino (P4),,,,split_detail,,-0.3707,-0.7853,-0.9697,-1.1987,-0.9629,-2.9604,-0.9730,-1.0119,-1.0119,-1.0119,-1.0119,-1.4395,-0.9517,-0.9867,-0.2334,-1.2168,-0.2334,-1.7455,-2.1706,-1.0536,-1.0119,-1.8669,-1.7382,-1.3388,-1.0119,-1.4362,-2.0379,-1.7771,-2.3134,-1.8787,-0.8100,0.6883,-1.3822,-1.8611,-2.5858,-1.5488,-2.2085,-2.2085,-2.2085,-1.8027,-1.7621,-2.2085,-2.2085,-2.2085,-2.2443,-2.2085,-2.2085,-2.2443,-2.4258,-1.8051,-2.2933,-0.9942,0.4741,-1.7580,-2.2733,0.4031,-1.4815,-1.5912,-0.2726,-1.5541,-0.6230,-1.9672,-0.8203,-1.6626,-1.8963,-1.8956,-1.9697,-0.3372,-1.5805,-1.9697,1.9493,1.9493,-2.5696,-2.5696,-1.6554,0.6971,-0.5196,-1.7301,-0.4812,0.5281
  Trades/D (P4),,,,split_detail,,0.331,0.423,0.417,0.436,0.436,0.337,0.429,0.436,0.436,0.436,0.436,0.436,0.429,0.429,0.460,0.423,0.460,0.448,0.448,0.436,0.436,0.466,0.448,0.466,0.436,0.436,0.454,0.442,0.442,0.448,0.546,0.497,0.491,0.472,0.448,0.460,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.472,0.687,0.448,0.718,0.656,0.454,0.460,0.656,0.748,0.515,0.693,0.620,0.706,0.718,0.620,0.607,0.607,0.442,0.613,0.620,0.761,0.613,0.804,0.804,0.626,0.626,0.613,0.791,0.626,0.620,0.632,0.798
  Profit Fac (P4),,,,split_detail,,0.9545,0.9034,0.8766,0.8497,0.8830,0.6911,0.8822,0.8690,0.8690,0.8690,0.8690,0.8096,0.8772,0.8726,0.9694,0.8373,0.9694,0.7874,0.7256,0.8636,0.8690,0.7747,0.8012,0.8348,0.8690,0.8124,0.7415,0.8052,0.7222,0.7764,0.9033,1.0932,0.8337,0.7777,0.7094,0.8131,0.7179,0.7179,0.7179,0.7783,0.7833,0.7179,0.7179,0.7179,0.7134,0.7179,0.7179,0.7134,0.6976,0.7861,0.6789,0.8912,1.0587,0.7504,0.6873,1.0522,0.8109,0.7865,0.9656,0.8021,0.9241,0.7396,0.8840,0.7845,0.7614,0.7501,0.7526,0.9520,0.7912,0.7526,1.2416,1.2416,0.6709,0.6709,0.7841,1.0835,0.9277,0.7721,0.9324,1.0622
  Max DD (P4),,,,split_detail,,"$7,528.50","$5,111.00","$5,630.00","$5,695.00","$5,176.00","$10,957.00","$5,176.00","$5,695.00","$5,695.00","$5,695.00","$5,695.00","$6,122.00","$5,695.00","$5,695.00","$4,808.50","$6,057.00","$4,808.50","$6,287.00","$7,429.50","$5,695.00","$5,695.00","$6,352.00","$5,768.00","$5,400.50","$5,695.00","$6,122.00","$7,429.50","$5,176.00","$7,429.50","$6,287.00","$3,960.50","$4,252.00","$5,573.50","$6,372.00","$6,215.50","$5,400.50","$7,494.50","$7,494.50","$7,494.50","$6,352.00","$6,352.00","$7,494.50","$7,494.50","$7,494.50","$7,494.50","$7,494.50","$7,494.50","$7,494.50","$7,494.50","$7,384.50","$10,426.50","$12,508.50","$10,147.50","$10,496.50","$10,496.50","$10,155.00","$8,642.00","$7,375.00","$10,144.50","$8,306.50","$10,637.50","$7,162.50","$11,885.00","$8,595.00","$9,349.00","$7,899.50","$9,440.00","$9,943.50","$7,819.50","$9,440.00","$5,360.00","$5,360.00","$13,471.50","$13,471.50","$8,502.50","$8,379.50","$10,662.00","$8,521.00","$10,662.00","$8,379.50"
  Total PNL (P4),,,,split_detail,,$-676.00,"$-1,453.00","$-1,913.50","$-2,404.50","$-1,801.00","$-5,485.50","$-1,806.00","$-2,038.50","$-2,038.50","$-2,038.50","$-2,038.50","$-3,158.00","$-1,903.50","$-1,973.50",$-477.50,"$-2,642.00",$-477.50,"$-3,537.00","$-4,986.00","$-2,122.50","$-2,038.50","$-3,874.00","$-3,271.50","$-2,729.50","$-2,038.50","$-3,123.50","$-4,715.00","$-3,524.50","$-5,367.50","$-3,797.00","$-1,679.00","$1,592.00","$-3,051.00","$-4,076.50","$-5,572.00","$-3,098.00","$-5,181.00","$-5,181.00","$-5,181.00","$-3,732.00","$-3,648.00","$-5,181.00","$-5,181.00","$-5,181.00","$-5,265.00","$-5,181.00","$-5,181.00","$-5,265.00","$-5,716.00","$-5,078.00","$-5,791.00","$-3,722.00","$1,685.50","$-4,620.50","$-6,321.00","$1,509.50","$-5,326.00","$-5,779.50","$-1,128.00","$-6,449.00","$-2,602.50","$-6,880.50","$-3,189.50","$-6,711.00","$-7,602.50","$-4,880.00","$-7,976.50","$-1,313.00","$-5,788.50","$-7,976.50","$7,247.00","$7,247.00","$-10,877.50","$-10,877.50","$-6,725.50","$2,656.50","$-2,031.50","$-7,099.50","$-1,900.00","$2,019.00"
  Avg Profit/Tr (P4),,,,split_detail,,$-12.52,$-21.06,$-28.14,$-33.87,$-25.37,$-99.74,$-25.80,$-28.71,$-28.71,$-28.71,$-28.71,$-44.48,$-27.19,$-28.19,$-6.37,$-38.29,$-6.37,$-48.45,$-68.30,$-29.89,$-28.71,$-50.97,$-44.82,$-35.91,$-28.71,$-43.99,$-63.72,$-48.95,$-74.55,$-52.01,$-18.87,$19.65,$-38.14,$-52.94,$-76.33,$-41.31,$-68.17,$-68.17,$-68.17,$-49.11,$-48.00,$-68.17,$-68.17,$-68.17,$-69.28,$-68.17,$-68.17,$-69.28,$-74.23,$-45.34,$-79.33,$-31.81,$15.75,$-62.44,$-84.28,$14.11,$-43.66,$-68.80,$-9.98,$-63.85,$-22.63,$-58.81,$-31.58,$-67.79,$-76.79,$-67.78,$-79.76,$-13.00,$-46.68,$-79.76,$55.32,$55.32,$-106.64,$-106.64,$-67.25,$20.59,$-19.92,$-70.29,$-18.45,$15.53
  Span (min) (P4),,,,split_detail,,82.31,59.04,60.32,58.46,58.07,75.09,58.50,59.06,59.06,59.06,59.06,60.44,60.10,59.80,56.19,61.78,56.19,57.63,59.36,58.86,59.25,55.36,56.48,54.62,59.06,60.24,59.97,60.08,61.93,56.96,53.72,61.53,56.35,56.55,62.23,55.81,57.29,57.29,57.29,55.63,55.82,57.29,57.29,57.29,57.11,57.29,57.29,57.11,57.36,52.06,40.68,63.36,64.64,42.36,42.24,65.09,55.20,56.44,63.62,63.60,63.55,47.38,47.27,57.89,57.11,46.75,56.76,47.49,50.86,56.76,57.76,57.76,52.84,52.84,57.86,83.13,47.56,57.18,47.63,84.32
  Sortino (P6),,,,split_detail,,-0.3483,-1.1353,-0.3726,-0.4735,-0.8099,0.7713,-0.2963,-0.2731,-0.2731,-0.2731,-0.2731,-0.6001,-0.8253,-0.7308,-1.3968,-1.1991,-1.3585,0.0843,-0.5235,-0.3088,-0.5083,-0.1888,-0.1981,-0.7481,-0.6846,-0.7152,-0.2317,1.1367,-0.9110,-0.2674,-1.9161,-1.5061,0.4518,0.9248,-0.2997,-0.4591,-0.8222,-1.1258,-1.1258,-1.1185,-0.7392,-1.1258,-1.1258,-1.1352,-1.2099,-0.7477,-1.1258,-1.2099,-0.9214,-1.8508,1.2283,1.8793,-0.4077,1.1051,0.1066,-0.6381,-4.2215,-0.7435,-0.6183,-0.0720,0.1850,-1.5326,-1.3290,-0.9586,-0.8518,-1.9065,-0.9455,-1.3006,-2.4093,-0.9715,-0.5359,-0.1589,0.8344,0.8344,-0.7382,1.1343,-1.1416,-0.4999,-1.0044,0.9131
  Trades/D (P6),,,,split_detail,,0.341,0.512,0.500,0.518,0.530,0.354,0.512,0.530,0.530,0.530,0.530,0.530,0.518,0.524,0.543,0.512,0.543,0.537,0.524,0.530,0.530,0.543,0.543,0.549,0.530,0.530,0.537,0.506,0.518,0.543,0.659,0.537,0.543,0.549,0.543,0.537,0.555,0.561,0.561,0.561,0.573,0.561,0.561,0.567,0.561,0.567,0.561,0.561,0.567,0.713,0.518,0.805,0.756,0.518,0.543,0.750,0.774,0.604,0.780,0.738,0.787,0.726,0.695,0.720,0.720,0.488,0.726,0.683,0.768,0.738,1.030,1.012,0.762,0.762,0.738,0.878,0.683,0.738,0.750,0.890
  Profit Fac (P6),,,,split_detail,,0.9593,0.8884,0.9604,0.9508,0.9178,1.0959,0.9687,0.9707,0.9707,0.9707,0.9707,0.9356,0.9136,0.9226,0.8567,0.8694,0.8606,1.0090,0.9393,0.9683,0.9475,0.9802,0.9786,0.9202,0.9293,0.9228,0.9732,1.1261,0.8956,0.9712,0.7992,0.8584,1.0462,1.0956,0.9659,0.9496,0.9088,0.8743,0.8743,0.8839,0.9218,0.8743,0.8743,0.8724,0.8656,0.9156,0.8743,0.8656,0.8960,0.7899,1.1657,1.1834,0.9612,1.1488,1.0136,0.9393,0.5754,0.9067,0.9363,0.9908,1.0192,0.8040,0.8471,0.8736,0.8878,0.7574,0.8755,0.8511,0.7270,0.8715,0.9471,0.9839,1.1098,1.1098,0.9049,1.1115,0.8676,0.9340,0.8786,1.0886
  Max DD (P6),,,,split_detail,,"$4,794.50","$6,959.50","$6,232.50","$6,861.50","$6,702.50","$3,729.00","$6,232.50","$6,883.00","$6,883.00","$6,883.00","$6,883.00","$7,028.00","$7,140.00","$6,883.00","$7,587.50","$7,285.00","$7,462.50","$6,744.50","$6,692.00","$6,744.50","$6,744.50","$6,604.50","$6,702.50","$6,654.50","$7,176.50","$7,014.00","$7,028.00","$5,072.50","$8,365.50","$6,856.50","$9,173.50","$7,957.50","$6,784.50","$5,072.00","$6,687.00","$6,283.50","$7,656.00","$7,721.00","$7,721.00","$7,437.50","$7,437.50","$7,721.00","$7,721.00","$7,721.00","$7,721.00","$7,721.00","$7,721.00","$7,721.00","$7,721.00","$12,746.50","$4,639.00","$5,986.00","$11,654.50","$4,791.50","$4,791.50","$12,172.00","$18,143.50","$4,896.00","$13,554.50","$4,828.50","$13,554.50","$10,440.50","$6,152.00","$5,856.50","$5,731.00","$6,018.50","$5,796.00","$6,022.00","$14,500.00","$5,861.00","$13,041.00","$11,932.50","$5,897.00","$5,897.00","$5,667.50","$7,458.00","$5,546.50","$5,667.50","$5,272.50","$7,458.00"
  Total PNL (P6),,,,split_detail,,$-738.00,"$-3,224.00","$-1,057.50","$-1,350.50","$-2,362.00","$1,650.50",$-843.50,$-836.50,$-836.50,$-836.50,$-836.50,"$-1,944.50","$-2,469.50","$-2,212.50","$-4,487.00","$-3,855.00","$-4,362.00",$255.00,"$-1,717.00",$-923.50,"$-1,522.50",$-563.00,$-591.00,"$-2,363.00","$-2,109.50","$-2,320.50",$-770.00,"$2,948.50","$-2,739.00",$-801.00,"$-6,960.00","$-4,360.00","$1,286.00","$2,566.00",$-930.50,"$-1,433.50","$-2,792.50","$-3,857.00","$-3,857.00","$-3,502.50","$-2,383.50","$-3,857.00","$-3,857.00","$-3,922.00","$-4,137.50","$-2,589.50","$-3,857.00","$-4,137.50","$-3,191.00","$-6,907.00","$2,828.00","$7,361.00","$-1,579.00","$2,577.00",$266.00,"$-2,533.00","$-17,302.00","$-2,163.50","$-2,769.50",$-263.50,$835.00,"$-6,102.00","$-4,188.00","$-3,645.00","$-3,185.00","$-3,990.00","$-3,584.50","$-4,058.00","$-9,350.50","$-3,714.50","$-2,645.00",$-772.50,"$3,271.50","$3,271.50","$-2,648.50","$4,931.00","$-3,582.50","$-1,781.00","$-3,557.50","$4,000.50"
  Avg Profit/Tr (P6),,,,split_detail,,$-13.18,$-38.38,$-12.90,$-15.89,$-27.15,$28.46,$-10.04,$-9.61,$-9.61,$-9.61,$-9.61,$-22.35,$-29.05,$-25.73,$-50.42,$-45.89,$-49.01,$2.90,$-19.97,$-10.61,$-17.50,$-6.33,$-6.64,$-26.26,$-24.25,$-26.67,$-8.75,$35.52,$-32.22,$-9.00,$-64.44,$-49.55,$14.45,$28.51,$-10.46,$-16.29,$-30.69,$-41.92,$-41.92,$-38.07,$-25.36,$-41.92,$-41.92,$-42.17,$-44.97,$-27.84,$-41.92,$-44.97,$-34.31,$-59.03,$33.27,$55.77,$-12.73,$30.32,$2.99,$-20.59,$-136.24,$-21.85,$-21.64,$-2.18,$6.47,$-51.28,$-36.74,$-30.89,$-26.99,$-49.88,$-30.12,$-36.23,$-74.21,$-30.70,$-15.65,$-4.65,$26.17,$26.17,$-21.89,$34.24,$-31.99,$-14.72,$-28.92,$27.40
  Span (min) (P6),,,,split_detail,,87.75,73.42,72.99,70.91,71.61,87.26,71.25,73.46,73.46,73.46,73.46,77.56,72.64,72.52,72.83,76.75,72.12,72.94,76.43,74.34,75.07,72.99,70.00,72.96,75.23,77.89,77.24,68.73,72.39,70.24,63.84,70.56,74.09,70.47,72.12,75.81,76.23,72.66,72.66,68.71,68.88,72.66,72.66,71.96,72.43,72.94,72.66,72.43,72.26,54.09,62.89,81.51,84.06,63.28,60.93,85.31,51.48,73.67,86.19,71.27,87.80,46.76,61.27,58.08,57.80,50.05,57.59,62.17,52.17,56.82,73.07,72.45,66.26,66.26,57.45,75.35,62.37,56.55,66.09,74.89
