Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88,Solution_89,Solution_90,Solution_91,Solution_92
  Avg Profit/Tr (P5),,,,split_detail,,$219.59,$269.49,$260.42,$364.79,$259.19,$217.31,$209.07,$313.42,$229.91,$163.78,$92.66,$74.25,$167.09,$274.28,$225.01,$-4.96,$194.70,$-70.76,$-19.25,$-19.25,$179.67,$136.22,$138.42,$100.52,$256.26,$149.83,$290.93,$138.14,$183.35,$51.02,$158.56,$158.56,$136.46,$149.59,$143.09,$295.57,$305.05,$295.82,$292.85,$289.66,$258.81,$262.95,$246.17,$235.33,$229.62,$211.00,$164.47,$269.33,$178.73,$164.47,$63.92,$135.73,$129.79,$156.66,$156.66,$142.98,$111.36,$129.37,$87.48,$91.77,$126.83,$128.46,$154.85,$135.40,$87.80,$93.40,$137.01,$88.29,$135.40,$47.09,$81.17,$79.70,$47.84,$85.99,$168.03,$78.85,$76.69,$153.57,$79.09,$52.43,$137.81,$116.54,$46.67,$62.45,$70.07,$63.94,$48.50,$53.47,$72.25,$10.20,$132.76,$176.54,$213.42
  Span (min) (P5),,,,split_detail,,150.86,159.12,151.45,157.11,171.49,154.81,151.36,137.88,150.81,184.81,154.17,143.89,184.44,160.79,151.83,144.83,166.09,141.08,147.10,147.10,163.51,159.53,165.31,165.20,170.88,164.50,179.84,173.00,161.13,114.21,160.15,160.15,169.78,163.53,158.46,148.35,161.97,164.92,131.79,131.25,141.06,129.38,128.54,127.59,126.56,125.07,163.92,159.60,162.97,163.92,110.06,159.37,160.93,162.66,162.66,161.29,152.70,160.79,146.41,135.66,159.80,161.93,152.06,157.01,159.73,160.00,105.87,158.99,157.01,143.88,139.02,150.70,157.84,156.23,113.33,108.18,147.93,113.77,155.46,139.87,135.39,99.57,108.37,132.76,155.79,149.21,144.89,148.48,149.06,111.52,151.41,116.39,142.19
  Sortino (P7),,,,split_detail,,-1.1294,3.4283,1.9136,2.8355,-2.3871,4.8445,3.5537,1.0908,1.8483,-0.5810,1.7965,1.5509,-0.5810,-0.2252,2.0544,2.6741,1.8700,0.3830,3.1592,3.1592,1.4984,1.2480,1.9467,2.2975,-0.5882,1.2830,1.4047,2.4982,0.4188,1.5336,0.8794,0.8794,1.9122,1.2693,0.7477,2.4009,-0.8176,0.5804,-4.1484,-3.6964,-2.7250,-3.4684,-3.6939,-3.3076,-3.3076,-3.3076,0.9615,-3.8215,0.5482,0.1277,-4.2145,0.5482,0.4716,0.1861,0.1861,0.1861,0.1846,0.1861,-0.5132,-1.7601,0.1861,0.5482,0.0502,-0.2554,0.1861,0.5482,-5.2767,0.1861,-0.2554,-0.5132,-4.6094,-3.8548,1.0391,-0.0066,-3.9341,-4.9280,-0.6879,-3.4535,-0.2554,-4.5576,-0.2443,-5.5368,-3.1197,-4.7585,0.3505,-4.9677,-4.9019,-5.0726,-5.0180,-4.7631,-3.1490,-3.0718,-2.5419
  Trades/D (P7),,,,split_detail,,0.311,0.341,0.311,0.311,0.341,0.299,0.293,0.409,0.329,0.402,0.348,0.354,0.402,0.396,0.317,0.305,0.543,0.427,0.305,0.305,0.494,0.549,0.561,0.549,0.616,0.567,0.598,0.537,0.585,0.738,0.598,0.598,0.573,0.591,0.604,0.311,0.780,0.707,0.835,0.848,0.829,0.860,0.902,0.915,0.915,0.915,0.561,0.896,0.555,0.579,1.043,0.555,0.573,0.579,0.579,0.579,0.665,0.579,0.799,0.909,0.579,0.555,0.854,0.604,0.579,0.555,1.262,0.579,0.604,0.799,1.000,0.951,0.610,0.591,1.299,1.287,1.055,1.238,0.604,0.963,0.872,1.274,1.226,0.976,0.628,0.994,1.000,1.000,1.000,1.305,0.860,0.963,0.939
  Profit Fac (P7),,,,split_detail,,0.9235,1.2658,1.1588,1.1926,0.7632,1.3815,1.4163,1.0669,1.1765,0.9505,1.2154,1.1597,0.9505,0.9873,1.1407,1.3550,1.1662,1.0402,1.4554,1.4554,1.1285,1.1055,1.1597,1.1916,0.9567,1.1094,1.1172,1.1841,1.0349,1.0896,1.0715,1.0715,1.1291,1.1017,1.0609,1.2615,0.9340,1.0548,0.7360,0.7614,0.8181,0.7729,0.7582,0.7814,0.7814,0.7814,1.0826,0.7538,1.0466,1.0105,0.7255,1.0466,1.0385,1.0154,1.0154,1.0154,1.0148,1.0154,0.9561,0.9014,1.0154,1.0466,1.0044,0.9795,1.0154,1.0466,0.6606,1.0154,0.9795,0.9561,0.7274,0.7776,1.0843,0.9995,0.7360,0.6853,0.9425,0.7622,0.9795,0.7447,0.9817,0.6469,0.7979,0.7391,1.0274,0.7374,0.7390,0.7310,0.7346,0.6833,0.7502,0.8004,0.8086
  Max DD (P7),,,,split_detail,,"$5,139.00","$3,785.00","$5,046.50","$6,099.00","$7,863.50","$4,168.50","$3,773.50","$4,084.50","$4,795.50","$7,038.00","$3,368.50","$4,436.00","$7,038.00","$4,947.50","$6,551.50","$3,121.50","$5,957.50","$5,639.50","$3,121.50","$3,121.50","$5,079.50","$7,170.00","$7,490.00","$5,645.00","$12,707.00","$6,071.50","$8,995.50","$6,953.00","$8,878.50","$10,078.00","$7,160.00","$7,160.00","$8,067.00","$7,586.00","$7,259.50","$4,547.00","$16,478.00","$13,569.50","$18,761.00","$17,332.00","$17,253.00","$16,672.00","$17,470.00","$17,762.50","$17,762.50","$17,762.50","$7,172.00","$21,916.00","$7,631.50","$8,980.50","$22,773.50","$7,631.50","$7,978.50","$8,809.00","$8,809.00","$8,809.00","$8,825.50","$8,809.00","$10,911.50","$22,909.50","$8,809.00","$7,631.50","$8,213.50","$9,878.50","$8,809.00","$7,631.50","$30,622.50","$8,809.00","$9,878.50","$10,911.50","$25,283.00","$22,078.50","$7,170.50","$9,126.00","$25,964.50","$30,922.00","$15,335.50","$23,134.50","$9,878.50","$23,029.50","$15,281.00","$31,567.50","$21,051.00","$23,459.50","$7,395.00","$24,682.00","$25,448.00","$25,042.50","$25,192.00","$27,895.50","$22,704.00","$18,609.00","$19,140.50"
  Total PNL (P7),,,,split_detail,,"$-1,475.00","$4,628.50","$3,009.00","$3,275.50","$-5,057.00","$5,976.00","$6,414.50","$1,547.50","$3,477.50","$-1,104.00","$3,807.50","$2,994.00","$-1,104.00",$-300.50,"$2,331.50","$5,482.50","$5,342.00",$892.00,"$6,659.00","$6,659.00","$3,932.00","$3,534.50","$5,635.50","$6,525.00","$-1,634.50","$3,796.50","$4,172.50","$6,118.50","$1,256.00","$3,815.50","$2,676.50","$2,676.50","$4,662.00","$3,840.00","$2,299.50","$4,424.00","$-3,226.00","$2,331.00","$-15,146.00","$-13,693.00","$-10,561.50","$-13,033.00","$-14,612.50","$-13,263.50","$-13,263.50","$-13,263.50","$2,778.00","$-15,727.50","$1,552.50",$374.50,"$-17,685.50","$1,552.50","$1,376.50",$546.00,$546.00,$546.00,$606.00,$546.00,"$-2,226.00","$-5,700.50",$546.00,"$1,552.50",$218.50,$-772.00,$546.00,"$1,552.50","$-26,362.50",$546.00,$-772.00,"$-2,226.00","$-19,471.00","$-12,792.50","$3,194.00",$-19.50,"$-20,351.50","$-25,333.00","$-3,683.00","$-17,470.00",$-772.00,"$-14,618.50",$-837.00,"$-27,043.50","$-13,968.00","$-15,048.50","$1,096.50","$-16,118.50","$-15,984.50","$-16,658.00","$-16,353.00","$-23,945.00","$-14,162.50","$-11,714.50","$-11,342.50"
  Avg Profit/Tr (P7),,,,split_detail,,$-28.92,$82.65,$59.00,$64.23,$-90.30,$121.96,$133.64,$23.10,$64.40,$-16.73,$66.80,$51.62,$-16.73,$-4.62,$44.84,$109.65,$60.02,$12.74,$133.18,$133.18,$48.54,$39.27,$61.26,$72.50,$-16.18,$40.82,$42.58,$69.53,$13.08,$31.53,$27.31,$27.31,$49.60,$39.59,$23.23,$86.75,$-25.20,$20.09,$-110.55,$-98.51,$-77.66,$-92.43,$-98.73,$-88.42,$-88.42,$-88.42,$30.20,$-106.99,$17.06,$3.94,$-103.42,$17.06,$14.64,$5.75,$5.75,$5.75,$5.56,$5.75,$-16.99,$-38.26,$5.75,$17.06,$1.56,$-7.80,$5.75,$17.06,$-127.36,$5.75,$-7.80,$-16.99,$-118.73,$-82.00,$31.94,$-0.20,$-95.55,$-120.06,$-21.29,$-86.06,$-7.80,$-92.52,$-5.85,$-129.39,$-69.49,$-94.05,$10.65,$-98.89,$-97.47,$-101.57,$-99.71,$-111.89,$-100.44,$-74.14,$-73.65
  Span (min) (P7),,,,split_detail,,143.57,164.75,143.29,161.41,155.89,158.00,154.29,143.97,149.85,149.77,131.58,160.03,149.77,140.00,149.69,152.16,150.70,129.94,159.84,159.84,148.99,146.53,154.30,157.73,150.12,149.94,172.00,171.34,143.35,134.40,147.29,147.29,161.00,152.99,144.24,147.69,154.55,157.98,123.24,123.58,133.21,125.11,124.30,123.95,123.95,123.95,147.00,142.57,143.54,144.57,101.52,143.54,144.91,143.24,143.24,143.24,142.57,143.24,148.85,136.11,143.24,143.54,145.23,140.28,143.24,143.54,98.95,143.24,140.28,148.85,125.15,127.54,146.02,143.03,100.37,102.45,138.94,101.03,140.28,121.97,116.98,93.91,102.18,120.22,144.08,123.83,120.88,123.59,123.29,99.18,120.68,102.52,102.08
  Sortino (P9),,,,split_detail,,-2.0224,-1.3676,-2.2145,-2.6974,-3.7118,3.5103,1.6235,-0.3584,3.0100,-2.8717,-0.5381,-2.7400,-2.7460,-0.9312,0.7831,-2.8657,1.2608,-1.5165,-3.2508,-3.2508,2.3407,1.2461,2.3003,1.9829,0.8436,1.6268,1.1426,1.3279,1.6414,1.4109,1.5269,1.5269,2.3836,3.5632,2.3991,2.8365,0.8455,-0.0332,-3.0745,-2.8518,-2.9367,-2.5034,-2.7154,-2.4583,-2.5770,-2.5770,1.8204,-1.4390,1.2427,1.5830,0.3679,1.9358,2.2855,1.5830,2.2603,1.5830,1.2608,1.5830,-0.1521,-1.1998,1.5989,0.7592,-0.2973,2.2533,0.4191,0.7592,-0.9099,1.1374,1.6202,0.1798,-3.4917,-2.5220,0.9694,0.5177,-1.5185,-1.3023,-3.7161,-2.3468,1.5665,-3.0770,-2.3759,-1.7496,1.0031,-3.1737,1.3532,-3.1452,-3.0265,-3.2514,-3.2377,1.1654,-1.8089,-0.2674,-1.6571
  Trades/D (P9),,,,split_detail,,0.299,0.348,0.299,0.287,0.317,0.244,0.256,0.433,0.299,0.323,0.378,0.390,0.329,0.415,0.384,0.372,0.488,0.433,0.372,0.372,0.463,0.494,0.530,0.518,0.817,0.518,0.793,0.482,0.537,0.878,0.549,0.549,0.543,0.598,0.598,0.280,0.970,0.921,0.945,0.963,0.927,0.994,1.037,1.037,1.043,1.043,0.518,0.976,0.500,0.524,1.006,0.500,0.530,0.524,0.530,0.524,0.646,0.524,0.902,1.018,0.530,0.500,0.878,0.549,0.543,0.500,1.165,0.530,0.549,0.927,1.012,0.963,0.561,0.561,1.152,1.171,1.018,1.116,0.561,0.982,0.976,1.165,1.177,0.988,0.573,0.988,0.988,0.988,0.988,1.226,0.890,0.884,0.915
  Profit Fac (P9),,,,split_detail,,0.8696,0.9042,0.8390,0.8142,0.7120,1.3056,1.1139,0.9692,1.2200,0.7579,0.9489,0.7841,0.7641,0.9244,1.0638,0.7516,1.0832,0.8803,0.7352,0.7352,1.1625,1.0814,1.1606,1.1385,1.0572,1.1077,1.0738,1.0910,1.1095,1.0927,1.1017,1.1017,1.1733,1.2523,1.1590,1.2061,1.0624,0.9976,0.8144,0.8288,0.8213,0.8519,0.8377,0.8483,0.8419,0.8419,1.1197,0.9011,1.0819,1.1027,1.0223,1.1276,1.1506,1.1027,1.1483,1.1027,1.0860,1.1027,0.9868,0.9140,1.1049,1.0500,0.9760,1.1500,1.0267,1.0500,0.9415,1.0746,1.1079,1.0156,0.7844,0.8428,1.0648,1.0336,0.8983,0.9155,0.7580,0.8462,1.1066,0.8083,0.8488,0.8829,1.0655,0.8024,1.0925,0.8089,0.8140,0.8017,0.8032,1.0863,0.8776,0.9834,0.8841
  Max DD (P9),,,,split_detail,,"$8,715.00","$6,197.50","$10,241.00","$7,202.50","$10,661.00","$3,077.00","$3,956.50","$12,119.50","$4,466.50","$7,061.50","$7,137.00","$9,052.00","$6,916.00","$12,328.00","$8,637.00","$11,308.50","$8,528.50","$8,506.00","$11,214.00","$11,214.00","$8,528.50","$9,038.50","$7,343.00","$9,397.50","$13,082.50","$8,528.50","$10,324.00","$9,252.00","$9,669.50","$10,971.00","$10,179.50","$10,179.50","$8,094.00","$11,107.00","$11,176.50","$3,857.00","$15,232.50","$16,375.50","$17,101.00","$18,072.50","$17,425.00","$18,842.00","$20,352.50","$19,521.00","$19,521.00","$19,521.00","$8,515.00","$16,680.50","$7,260.00","$9,025.00","$7,339.00","$7,260.00","$7,260.00","$9,025.00","$7,260.00","$9,025.00","$8,072.50","$9,025.00","$15,767.00","$13,321.50","$7,260.00","$7,260.00","$14,711.50","$8,401.00","$8,658.00","$7,260.00","$10,177.50","$7,450.00","$8,401.00","$12,838.00","$24,046.00","$15,782.50","$8,401.00","$8,401.00","$13,013.50","$9,810.50","$28,071.00","$14,522.50","$8,401.00","$16,186.00","$19,260.00","$12,886.50","$8,175.00","$16,666.00","$8,401.00","$18,684.00","$18,831.00","$19,269.50","$18,684.00","$8,705.00","$19,150.00","$6,422.50","$18,136.00"
  Total PNL (P9),,,,split_detail,,"$-2,894.00","$-2,263.00","$-4,083.50","$-4,081.50","$-7,362.50","$4,350.00","$1,913.50",$-903.50,"$3,834.00","$-5,656.50","$-1,074.00","$-5,869.50","$-5,511.00","$-2,232.50","$1,421.00","$-5,977.50","$3,010.00","$-3,187.50","$-6,513.50","$-6,513.50","$5,362.00","$2,987.50","$6,266.50","$5,293.00","$3,233.00","$4,145.00","$4,247.00","$3,477.50","$4,296.00","$4,714.50","$4,082.00","$4,082.00","$6,925.00","$10,795.50","$6,898.50","$3,470.50","$3,979.00",$-149.50,"$-11,138.50","$-10,437.00","$-10,919.00","$-9,386.00","$-10,790.00","$-9,958.50","$-10,455.50","$-10,455.50","$4,559.00","$-7,147.50","$3,009.50","$3,971.00","$1,325.50","$4,688.00","$5,814.00","$3,971.00","$5,736.00","$3,971.00","$4,064.00","$3,971.00",$-806.50,"$-5,554.50","$4,057.50","$1,838.50","$-1,422.50","$5,974.00","$1,080.00","$1,838.50","$-4,166.50","$2,886.50","$4,295.50",$983.00,"$-15,287.00","$-9,890.00","$2,630.00","$1,396.00","$-7,183.50","$-6,097.50","$-18,176.00","$-10,792.00","$4,245.50","$-12,075.00","$-10,118.00","$-8,134.50","$4,416.50","$-12,541.50","$3,751.00","$-12,529.50","$-12,071.00","$-13,115.00","$-12,898.00","$6,041.50","$-7,757.00",$-888.50,"$-7,093.00"
  Avg Profit/Tr (P9),,,,split_detail,,$-59.06,$-39.70,$-83.34,$-86.84,$-141.59,$108.75,$45.56,$-12.73,$78.24,$-106.73,$-17.32,$-91.71,$-102.06,$-32.83,$22.56,$-97.99,$37.63,$-44.89,$-106.78,$-106.78,$70.55,$36.88,$72.03,$62.27,$24.13,$48.76,$32.67,$44.02,$48.82,$32.74,$45.36,$45.36,$77.81,$110.16,$70.39,$75.45,$25.03,$-0.99,$-71.86,$-66.06,$-71.84,$-57.58,$-63.47,$-58.58,$-61.14,$-61.14,$53.64,$-44.67,$36.70,$46.17,$8.03,$57.17,$66.83,$46.17,$65.93,$46.17,$38.34,$46.17,$-5.45,$-33.26,$46.64,$22.42,$-9.88,$66.38,$12.13,$22.42,$-21.81,$33.18,$47.73,$6.47,$-92.09,$-62.59,$28.59,$15.17,$-38.01,$-31.76,$-108.84,$-58.97,$46.15,$-75.00,$-63.24,$-42.59,$22.88,$-77.42,$39.90,$-77.34,$-74.51,$-80.96,$-79.62,$30.06,$-53.13,$-6.13,$-47.29
  Span (min) (P9),,,,split_detail,,158.29,153.51,174.00,161.74,165.00,168.35,160.33,158.93,153.43,161.04,128.90,157.06,159.17,166.15,149.56,123.74,151.90,127.44,126.10,126.10,154.37,150.89,159.31,158.45,142.19,150.21,160.68,174.38,147.80,109.24,146.38,146.38,169.57,153.14,145.43,136.04,137.53,137.22,108.12,108.10,115.32,108.05,108.21,108.87,108.23,108.23,148.56,135.10,148.71,148.95,113.44,152.98,151.43,148.95,151.26,148.95,141.32,148.95,123.85,126.11,146.44,143.07,125.40,148.87,143.78,143.07,109.21,141.93,144.98,120.59,127.52,130.56,143.50,141.83,115.48,113.17,145.08,114.83,139.85,119.63,101.70,99.83,106.92,116.96,143.43,128.07,126.52,128.15,127.85,106.01,115.89,112.68,117.92
  Sortino (P11),,,,split_detail,,12.1047,5.5649,7.5692,6.8169,15.2391,0.6383,1.4510,9.5524,0.9097,10.7017,9.9836,7.4268,9.6063,12.8032,3.5404,3.6663,4.2742,5.4561,3.2837,3.2837,2.0147,3.8040,2.4763,2.5122,1.9585,3.0303,0.7711,2.2417,2.9085,7.8980,2.5009,2.5009,1.3551,2.0982,2.9767,1.0047,1.9552,2.7633,2.4687,1.3948,2.3218,1.5084,1.8898,1.8773,2.1066,1.9469,3.9051,6.1329,3.3677,3.7345,5.4537,3.5580,3.5557,3.3160,3.3160,3.3160,3.2961,3.3714,0.1337,-0.0829,3.1114,3.3677,-1.0529,2.4700,3.3086,3.5325,2.8096,3.1696,2.2709,-0.4734,5.0165,1.7964,2.8070,2.9483,1.4732,2.0756,0.7489,2.4140,2.4622,2.0631,3.0801,2.0088,1.0886,1.4911,1.8758,0.9532,1.0367,1.1652,0.9532,2.1072,0.7191,4.2341,1.0233
  Trades/D (P11),,,,split_detail,,0.294,0.374,0.337,0.282,0.362,0.331,0.325,0.362,0.362,0.423,0.380,0.368,0.436,0.429,0.380,0.479,0.479,0.491,0.479,0.479,0.454,0.485,0.528,0.509,0.675,0.503,0.650,0.479,0.546,0.791,0.552,0.552,0.546,0.558,0.564,0.337,0.804,0.736,0.871,0.883,0.840,0.902,0.926,0.926,0.939,0.945,0.503,0.828,0.497,0.509,0.926,0.485,0.528,0.521,0.521,0.521,0.626,0.528,0.877,1.049,0.528,0.497,0.871,0.558,0.558,0.497,1.086,0.534,0.564,0.908,1.037,1.067,0.589,0.589,1.055,1.086,1.086,0.988,0.571,1.086,0.920,1.123,1.276,1.104,0.601,1.110,1.110,1.104,1.110,1.374,0.994,0.773,1.018
  Profit Fac (P11),,,,split_detail,,2.0988,1.6106,1.8038,1.8512,3.2547,1.0604,1.1381,1.7472,1.0817,1.9792,2.0580,1.6774,1.8203,2.0729,1.3643,1.3487,1.4026,1.5706,1.3040,1.3040,1.1806,1.3425,1.2403,1.2391,1.1466,1.2947,1.0688,1.2134,1.2562,1.6002,1.2212,1.2212,1.1269,1.1920,1.2556,1.0940,1.1433,1.2167,1.1573,1.0956,1.1422,1.1052,1.1336,1.1327,1.1491,1.1364,1.3666,1.6795,1.2976,1.3556,1.4409,1.3161,1.3310,1.3059,1.3059,1.3059,1.2771,1.3147,1.0123,0.9928,1.2820,1.2976,0.9156,1.2136,1.3058,1.3122,1.2490,1.2906,1.1933,0.9580,1.4014,1.1649,1.2501,1.2579,1.1181,1.1727,1.0652,1.1865,1.2118,1.1680,1.2535,1.1816,1.1073,1.1170,1.1573,1.0850,1.0925,1.1047,1.0850,1.1762,1.0688,1.3665,1.0969
  Max DD (P11),,,,split_detail,,"$3,103.00","$4,945.00","$6,716.00","$4,087.50","$3,497.50","$6,603.00","$4,612.50","$4,281.00","$5,255.00","$5,213.00","$3,157.50","$4,756.00","$5,213.00","$7,663.50","$8,545.00","$6,408.50","$6,585.00","$4,480.00","$7,435.50","$7,435.50","$7,201.00","$6,965.00","$8,337.50","$8,470.50","$15,517.00","$8,141.00","$18,979.00","$8,849.00","$7,405.50","$13,368.50","$8,488.50","$8,488.50","$10,841.00","$8,878.50","$9,933.50","$5,377.50","$17,456.00","$13,642.50","$16,159.00","$17,135.00","$16,634.00","$16,559.00","$14,881.50","$14,931.50","$13,936.50","$14,576.50","$6,490.00","$12,386.00","$7,797.00","$7,110.00","$8,100.00","$7,797.00","$7,242.50","$7,490.00","$7,490.00","$7,490.00","$6,628.50","$7,189.00","$18,741.00","$26,634.00","$7,490.00","$7,797.00","$26,306.00","$8,617.50","$7,111.50","$7,111.50","$11,652.50","$7,189.00","$9,125.00","$21,319.50","$12,782.50","$17,555.00","$6,279.50","$7,155.00","$13,411.50","$11,397.50","$17,923.00","$13,291.50","$8,415.00","$17,011.00","$14,279.00","$13,954.00","$14,283.00","$19,135.00","$8,118.50","$20,225.50","$20,162.50","$18,927.00","$20,225.50","$14,463.50","$18,226.50","$6,757.50","$20,249.50"
  Total PNL (P11),,,,split_detail,,"$17,419.50","$14,470.00","$20,655.50","$15,223.00","$36,454.50","$1,343.00","$2,766.00","$14,513.00","$1,854.00","$23,319.00","$25,598.50","$15,693.50","$21,223.50","$21,961.50","$8,894.00","$12,247.00","$12,723.00","$19,302.50","$11,041.50","$11,041.50","$5,679.50","$11,253.00","$8,737.50","$8,604.50","$6,752.50","$10,149.50","$3,290.50","$7,978.00","$9,311.00","$30,486.50","$8,269.50","$8,269.50","$5,236.00","$7,551.50","$9,925.50","$1,953.50","$8,064.00","$11,004.00","$8,307.50","$5,332.50","$7,832.50","$5,908.50","$7,586.00","$7,536.00","$8,531.00","$7,891.00","$11,961.50","$36,421.50","$10,167.00","$11,754.00","$25,179.50","$10,594.50","$11,217.00","$10,496.50","$10,496.50","$10,496.50","$11,742.00","$10,797.50","$1,005.50",$-577.50,"$9,856.50","$10,167.00","$-6,662.50","$8,034.00","$11,097.00","$10,664.50","$17,331.50","$10,157.50","$7,394.00","$-3,641.50","$26,240.00","$11,255.00","$9,714.50","$9,890.00","$8,702.00","$12,696.50","$5,154.00","$12,719.00","$8,104.00","$11,333.50","$14,151.00","$12,474.50","$9,971.50","$8,127.00","$6,463.50","$6,202.00","$6,702.50","$7,535.50","$6,202.00","$15,673.50","$5,135.00","$17,083.50","$7,232.00"
  Avg Profit/Tr (P11),,,,split_detail,,$362.91,$237.21,$375.55,$330.93,$617.87,$24.87,$52.19,$245.98,$31.42,$337.96,$412.88,$261.56,$298.92,$313.74,$143.45,$157.01,$163.12,$241.28,$141.56,$141.56,$76.75,$142.44,$101.60,$103.67,$61.39,$123.77,$31.04,$102.28,$104.62,$236.33,$91.88,$91.88,$58.83,$82.98,$107.89,$35.52,$61.56,$91.70,$58.50,$37.03,$57.17,$40.19,$50.24,$49.91,$55.76,$51.24,$145.87,$269.79,$125.52,$141.61,$166.75,$134.11,$130.43,$123.49,$123.49,$123.49,$115.12,$125.55,$7.03,$-3.38,$114.61,$125.52,$-46.92,$88.29,$121.95,$131.66,$97.92,$116.75,$80.37,$-24.60,$155.27,$64.68,$101.19,$103.02,$50.59,$71.73,$29.12,$79.00,$87.14,$64.03,$94.34,$68.17,$47.94,$45.15,$65.95,$34.27,$37.03,$41.86,$34.27,$69.97,$31.70,$135.58,$43.57
  Span (min) (P11),,,,split_detail,,170.92,178.79,193.96,186.87,177.71,218.81,208.15,166.58,199.80,172.61,154.65,194.37,172.61,180.40,168.00,140.31,182.36,150.45,141.69,141.69,177.46,181.47,183.79,184.70,140.51,184.05,149.77,196.00,183.73,123.75,184.02,184.02,195.69,184.46,181.85,201.85,145.13,149.33,118.41,117.74,130.91,120.19,118.68,118.49,118.13,117.55,182.85,152.24,176.81,183.35,125.35,180.05,181.67,181.18,181.18,181.18,174.73,180.86,160.09,131.37,179.40,176.81,147.21,180.62,176.31,180.44,118.80,179.10,178.96,158.72,137.35,134.14,176.90,177.62,124.62,122.36,156.68,124.70,180.95,145.69,115.36,108.40,110.12,141.33,175.71,147.58,147.38,149.60,147.58,104.94,133.56,129.00,152.53
--- PER-SPLIT DETAIL (Out-of-Sample) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Sortino (P2),,,,split_detail,,-2.4464,0.1294,5.2347,-2.1660,2.8000,2.2605,2.6277,-5.4655,2.4443,5.6294,-1.1574,1.3311,5.6294,-5.4894,-2.3235,-1.2643,-4.1839,-3.1339,-1.4032,-1.4032,-3.6133,-3.9518,-3.3339,-3.6238,-2.8146,-4.7650,-3.2042,-2.3137,-4.2197,-2.2249,-3.4757,-3.4757,-2.3078,-1.6067,-3.1810,0.3267,-3.3891,-1.9338,-4.7507,-4.9028,-3.5266,-5.0988,-4.3125,-4.3125,-4.3125,-4.4253,-4.6675,-1.1293,-4.0319,-4.2686,-1.8407,-4.0319,-3.8103,-4.2686,-4.2686,-4.2686,-0.5764,-3.8934,-2.6008,-3.1441,-4.2686,-4.5092,2.4242,-3.8012,-5.3607,-4.5092,-3.8352,-4.3493,-3.8012,-2.4745,-2.0168,-0.3255,-0.7409,-4.8627,-1.3912,-2.7963,-1.6612,-0.5062,-4.3729,-1.1773,-3.8221,-4.0734,-4.2804,-1.4835,-0.9180,-1.0462,-1.1739,-1.0604,-1.0462,-4.9744,-2.2944,-0.1812,1.4044
  Trades/D (P2),,,,split_detail,,0.319,0.386,0.301,0.253,0.295,0.295,0.283,0.367,0.319,0.337,0.355,0.355,0.337,0.367,0.404,0.392,0.512,0.464,0.392,0.392,0.458,0.512,0.548,0.530,0.675,0.542,0.651,0.494,0.560,0.813,0.560,0.560,0.542,0.560,0.566,0.301,0.765,0.705,0.819,0.837,0.819,0.855,0.928,0.928,0.928,0.934,0.542,0.849,0.512,0.542,1.229,0.512,0.548,0.542,0.542,0.542,0.614,0.548,0.861,0.958,0.542,0.518,0.837,0.560,0.560,0.518,1.416,0.554,0.560,0.873,0.988,0.958,0.578,0.578,1.325,1.428,1.060,1.265,0.578,1.006,0.867,1.434,1.476,1.018,0.602,1.006,1.006,1.006,1.006,1.446,0.873,1.024,0.861
